"id","name","mimeType","modifiedTime","parentId","path","depth","isFolder"
"1bmzwZpTRF6un-SUI9bMH8eTvoWsk4s7q","Mind/Spirit Tunneling","application/vnd.google-apps.folder","2026-01-09T07:42:40.533Z","1dg_vCtTL3otroH9NAeHEWCDlsSsk1csR","/Drive/Growth/Products/Tunneling/Mind/Spirit Tunneling","4","true"
"1hh79N3bhwVpTxW-zt9Ez4FCsdIL4Oi4S","Business Tunneling","application/vnd.google-apps.folder","2026-01-09T07:42:30.687Z","1dg_vCtTL3otroH9NAeHEWCDlsSsk1csR","/Drive/Growth/Products/Tunneling/Business Tunneling","4","true"
"14YR18-VtEPnicW80BfOxoJ8vuRvKoH0WTRLvXWakzYg","3 Phases to a Strategic Partnership","application/vnd.google-apps.document","2026-01-09T07:44:05.086Z","1xBAG0Qm00Qk534PvT2XS2_wOdSi7BCLg","/Drive/Growth/Products/Strategic Partnership/3 Phases to a Strategic Partnership","4","false"
"10yN1XGQI_dt1kxktPOt9szbsD9Rqf0RRIsy9Y3pIxzI","3 rites product briefing","application/vnd.google-apps.document","2026-01-10T12:26:27.654Z","163TITjLejb3nEIwv-tfPJFkm8lnUEibA","/Drive/Growth/Products/3 Rites products/3 rites product briefing","4","false"
"1o-ACVlHTaO2PGeKXXVSIboCXSBOaDz_K","Rite 3 - Declaration","application/vnd.google-apps.folder","2026-01-09T07:44:55.058Z","163TITjLejb3nEIwv-tfPJFkm8lnUEibA","/Drive/Growth/Products/3 Rites products/Rite 3 - Declaration","4","true"
"1VP8ae7QcPul5FABIWqu0IHY99HvHYKu7","Rite 1 - Perception scanners","application/vnd.google-apps.folder","2026-01-07T17:19:46.438Z","163TITjLejb3nEIwv-tfPJFkm8lnUEibA","/Drive/Growth/Products/3 Rites products/Rite 1 - Perception scanners","4","true"
"142NHk0a8jNabNvHfeEGkF5LyZNqyFrKtQhC5o1Og2R4","Product Ladder","application/vnd.google-apps.document","2025-12-28T00:13:12.490Z","163TITjLejb3nEIwv-tfPJFkm8lnUEibA","/Drive/Growth/Products/3 Rites products/Product Ladder","4","false"
"14-xhvKBtgKyUfq5dzqqkjzB7xu-jcub48DNTLllg62U","The Quantum Business Framework Ecosystem","application/vnd.google-apps.document","2026-01-06T18:10:33.501Z","1XD4b9bgv7vg3_AWU-C5_7EFs-hNPR8HV","/Drive/Growth/Brand/Quantum business framework/The Quantum Business Framework Ecosystem","4","false"
"1kB2ZVP4SKHtFYd3LMQMi89iEwKId3M_YE-5WekW1iXE","THE QUANTUM STRATEGIES MASTER PLAN","application/vnd.google-apps.document","2025-12-30T23:02:51.753Z","1XD4b9bgv7vg3_AWU-C5_7EFs-hNPR8HV","/Drive/Growth/Brand/Quantum business framework/THE QUANTUM STRATEGIES MASTER PLAN","4","false"
"1VeJKxQZXIeyR1lcYiy0tsgnCi0dbKOfH","Waves episode one","application/vnd.google-apps.folder","2025-12-28T00:27:15.071Z","1SgZuYZJLEDrHVbw6SsxZpETkTEwd2swc","/Drive/Growth/Content Library/Content/Waveforms Episodes/Waves episode one","5","true"
"1992XlAztSUS_Lv6ZOP6rKT350zm53mLzLmE-B0zHcjc","The Waveforms Series","application/vnd.google-apps.document","2025-12-27T23:34:20.327Z","1SgZuYZJLEDrHVbw6SsxZpETkTEwd2swc","/Drive/Growth/Content Library/Content/Waveforms Episodes/The Waveforms Series","5","false"
"1Ukd7COb-vUhXi5gAcK2KrUT90EkUqEHYGsTHrXY6P2c","Waveform Spine","application/vnd.google-apps.document","2025-12-27T23:31:06.843Z","1SgZuYZJLEDrHVbw6SsxZpETkTEwd2swc","/Drive/Growth/Content Library/Content/Waveforms Episodes/Waveform Spine","5","false"
